path	size_lines	mtime
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.ai-auto-repo-rot-scanner-todo-agent.pi-untracked.txt	0	0	2026-06-11 12:13:32.348166124 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.ai-auto-writer.pi-files.txt	300	5	2026-06-11 12:13:32.389166838 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.ai-auto-writer.pi-untracked.txt	0	0	2026-06-11 12:13:32.390166856 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.avid.pi-files.txt	1200	20	2026-06-11 12:13:32.435167639 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.avid.pi-untracked.txt	0	0	2026-06-11 12:13:32.436167657 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.browser-extensions-shared.pi-files.txt	0	0	2026-06-11 12:13:32.268164731 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.browser-extensions-shared.pi-untracked.txt	0	0	2026-06-11 12:13:32.270164765 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.dracon-ai-lib.pi-files.txt	1828	31	2026-06-11 12:13:32.311165479 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.dracon-ai-lib.pi-untracked.txt	0	0	2026-06-11 12:13:32.312165497 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.dracon-code.pi-files.txt	358	6	2026-06-11 12:13:32.041160775 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.dracon-code.pi-untracked.txt	0	0	2026-06-11 12:13:32.041160775 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.DraconDev.pi-files.txt	780	13	2026-06-11 12:13:32.362166368 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.DraconDev.pi-untracked.txt	0	0	2026-06-11 12:13:32.362166368 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.dracon-libs.pi-files.txt	0	0	2026-06-11 12:13:32.459168058 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.dracon-libs.pi-untracked.txt	0	0	2026-06-11 12:13:32.461168093 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before..dracon.pi-files.txt	0	0	2026-06-11 12:13:32.296165218 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before..dracon.pi-untracked.txt	0	0	2026-06-11 12:13:32.298165253 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.dracon-platform.pi-files.txt	3060	51	2026-06-11 12:13:32.127162274 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.dracon-platform.pi-untracked.txt	0	0	2026-06-11 12:13:32.128162292 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.dracon-utilities.pi-files.txt	2460	41	2026-06-11 12:13:32.099161786 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.dracon-utilities.pi-untracked.txt	0	0	2026-06-11 12:13:32.099161786 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.folder-auto-banner.pi-files.txt	1500	25	2026-06-11 12:13:32.325165724 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.folder-auto-banner.pi-untracked.txt	0	0	2026-06-11 12:13:32.326165741 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.Junk-Runner-bevy.pi-files.txt	2385	44	2026-06-11 12:13:32.070161281 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.Junk-Runner-bevy.pi-untracked.txt	0	0	2026-06-11 12:13:32.070161281 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.kiki-sassy-desktop-announcer.pi-files.txt	0	0	2026-06-11 12:13:32.472168285 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.kiki-sassy-desktop-announcer.pi-untracked.txt	0	0	2026-06-11 12:13:32.473168302 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.one-mil-girls.pi-files.txt	2006	34	2026-06-11 12:13:32.083161507 +0100
